id,name,sector,subsector,country,assetType,sourceType,longitude,latitude,srid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year,gadm_id
3640467,Fusō Town,transportation,road-transportation,JPN,,gadm-aggregation,136.92435836800007,35.35605239900002,4326,co2e_100yr,103501.74192209693,0.0002398795859509174,t of CO2e_100yr per Vehicle*km ,431473739.2588079,Vehicle*km ,512.9565461450097,km,841150.6637383527,2024,JPN.1_1
3640377,Tobishima Village,transportation,road-transportation,JPN,,gadm-aggregation,136.82015387527574,35.058610500000015,4326,co2e_100yr,102756.65396957617,0.00023888212926794587,t of CO2e_100yr per Vehicle*km ,430156304.6364074,Vehicle*km ,396.80783648347,km,1084041.858770918,2024,JPN.1_1
1308944,Anjō City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,137.0707024898844,34.94726562450006,4326,co2e_100yr,102647.344334,3.0240558426756065e-05,t of CO2e_100yr per MJ,3394360080.4401903,MJ,165973443.44387996,m^2,20.451224063372003,2024,JPN.1_1
3640300,Kōta Town,transportation,road-transportation,JPN,,gadm-aggregation,137.16389713825268,34.86079597550016,4326,co2e_100yr,101460.07887903992,0.0002386081685704097,t of CO2e_100yr per Vehicle*km ,425216284.4504654,Vehicle*km ,784.0729974761168,km,542317.2151307476,2024,JPN.1_1
3640374,Takahama City,transportation,road-transportation,JPN,,gadm-aggregation,137.00023461400812,34.93000030500014,4326,co2e_100yr,100493.65427571727,0.00023910637302772798,t of CO2e_100yr per Vehicle*km ,420288480.8263288,Vehicle*km ,468.5345099660172,km,897027.8002719849,2024,JPN.1_1
1310999,Toyokawa City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,137.37912276946878,34.849032377500116,4326,co2e_100yr,98611.551328,3.391459023703631e-05,t of CO2e_100yr per MJ,2907643897.1776695,MJ,142174565.68584,m^2,20.45122405088,2024,JPN.1_1
3640216,Iwakura City,transportation,road-transportation,JPN,,gadm-aggregation,136.87053614227858,35.27767944350015,4326,co2e_100yr,94560.34651962935,0.00023994753696053516,t of CO2e_100yr per Vehicle*km ,394087589.8016905,Vehicle*km ,488.6358382331218,km,806505.7021332858,2024,JPN.1_1
1566913,Daido Steel Chita plant (Tokai),manufacturing,iron-and-steel,JPN,EAF,point-source,136.865763441942,35.016411041535,4326,co2e_100yr,92997.78212108325,0.08000000000000002,t of CO2e_100yr per t of steel,1162472.2765135404,t of steel,1500000.0,t of steel,0.7749815176756936,2024,JPN.1_1
1566912,Aichi Steel Chita Plant (Tokai),manufacturing,iron-and-steel,JPN,EAF,point-source,136.900356240744,35.0446519751937,4326,co2e_100yr,92687.78951401295,0.08,t of CO2e_100yr per t of steel,1158597.368925162,t of steel,1495000.0,t of steel,0.7749815176756936,2024,JPN.1_1
3640328,Ōguchi Town,transportation,road-transportation,JPN,,gadm-aggregation,136.91667608642882,35.323026657500094,4326,co2e_100yr,92618.3108452155,0.00023969802223320025,t of CO2e_100yr per Vehicle*km ,386395807.4510431,Vehicle*km ,437.5134587974591,km,883163.2483103103,2024,JPN.1_1
1310995,Tōkai City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,136.8970612430722,35.01709938100014,4326,co2e_100yr,88347.071636,2.8089652329294194e-05,t of CO2e_100yr per MJ,3145182097.6746097,MJ,153789430.72584,m^2,20.451224006944386,2024,JPN.1_1
3640228,Kira Town,transportation,road-transportation,JPN,,gadm-aggregation,137.07314253259506,34.81014800000011,4326,co2e_100yr,87318.82079230456,0.00023917132495903875,t of CO2e_100yr per Vehicle*km ,365089003.9065471,Vehicle*km ,796.4507405207604,km,458394.9581964519,2024,JPN.1_1
1310958,Nishio City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,137.05961238131323,34.85803413450009,4326,co2e_100yr,83220.37042600001,2.770086657489824e-05,t of CO2e_100yr per MJ,3004251516.8609204,MJ,146898372.57743996,m^2,20.451223959456584,2024,JPN.1_1
3640413,Toyoyama Town,transportation,road-transportation,JPN,,gadm-aggregation,136.92187136402134,35.24428367650012,4326,co2e_100yr,82426.25537511054,0.00023920553792087878,t of CO2e_100yr per Vehicle*km ,344583390.8844301,Vehicle*km ,276.33323165069675,km,1246984.9855771456,2024,JPN.1_1
3640305,Mihama Town,transportation,road-transportation,JPN,,gadm-aggregation,136.88132191625203,34.774862289500135,4326,co2e_100yr,82299.42155721941,0.00023876652027239728,t of CO2e_100yr per Vehicle*km ,344685768.6049449,Vehicle*km ,879.8961360560551,km,391734.60875726154,2024,JPN.1_1
1310989,Tahara City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,137.24227404533178,34.6546895000001,4326,co2e_100yr,81722.16734,3.1867097458150564e-05,t of CO2e_100yr per MJ,2564468491.2807503,MJ,125394377.37828003,m^2,20.451223929638093,2024,JPN.1_1
3640303,Kozakai Town,transportation,road-transportation,JPN,,gadm-aggregation,137.3498135756792,34.79530504100006,4326,co2e_100yr,81530.6459956328,0.00023859201965879622,t of CO2e_100yr per Vehicle*km ,341715729.269686,Vehicle*km ,343.4760368516401,km,994875.0206911393,2024,JPN.1_1
3640222,Agui Town,transportation,road-transportation,JPN,,gadm-aggregation,136.91425460366227,34.936288834500004,4326,co2e_100yr,79289.71188534514,0.00023918853401889845,t of CO2e_100yr per Vehicle*km ,331494618.71395725,Vehicle*km ,607.6653920838393,km,545521.635808776,2024,JPN.1_1
1566944,Kyoei Steel Nagoya Division (Tokai),manufacturing,iron-and-steel,JPN,EAF,point-source,136.815026890157,35.0650800724629,4326,co2e_100yr,78428.1295887802,0.08,t of CO2e_100yr per t of steel,980351.6198597525,t of steel,1264999.9999999998,t of steel,0.7749815176756938,2024,JPN.1_1
3640215,Isshiki Town,transportation,road-transportation,JPN,,gadm-aggregation,137.03544586681508,34.80106150000003,4326,co2e_100yr,77544.82407592109,0.00023909953125681956,t of CO2e_100yr per Vehicle*km ,324320268.0837935,Vehicle*km ,567.595325767639,km,571393.4794039567,2024,JPN.1_1
1310902,Kōnan City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,136.87723640347184,35.334909439000114,4326,co2e_100yr,77387.93008,3.4730464895490845e-05,t of CO2e_100yr per MJ,2228243425.84736,MJ,108954037.18272002,m^2,20.45122405249208,2024,JPN.1_1
1310819,Handa City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,136.92004764111164,34.902778626000156,4326,co2e_100yr,76420.97880799999,2.693025816937564e-05,t of CO2e_100yr per MJ,2837736583.41322,MJ,138756319.96728,m^2,20.451224016912413,2024,JPN.1_1
