"rank","country_code","name","gas","emissionsQuantity","emissionsPerCapita","percentage","emissionsPercentChange"
60,"OMN","Oman","co2e_100yr",189061841.3931371,37.022877626959094,0.24861345705416882,-1.2735791302981572
61,"UNK","Unknown","co2e_100yr",182665661.55627513,0,0.24020257747389542,-14.93487427387286
62,"CMR","Cameroon","co2e_100yr",180636612.31954718,6.804698928599468,0.23753440846866974,-21.057401542504277
63,"KHM","Cambodia","co2e_100yr",164660307.93391997,9.848710661315218,0.21652581025026355,-86.84406100341629
64,"BLR","Belarus","co2e_100yr",152026015.02867022,16.207547227178797,0.1999119064954728,0.7445965954874905
65,"SWE","Sweden","co2e_100yr",150678226.48973837,14.553442854051665,0.19813958498642184,9.821091863453406
66,"CHL","Chile","co2e_100yr",150108207.865949,7.852404619867308,0.19739001913219506,2.540236786172987
67,"NOR","Norway","co2e_100yr",147100584.06547734,27.344784400982874,0.1934350394015216,-0.7449088260467692
68,"ECU","Ecuador","co2e_100yr",145632242.0825795,8.254364156930798,0.19150419194009802,57.45507355069892
69,"LBY","Libya","co2e_100yr",143104087.88110667,20.826387819502617,0.18817970746791307,-1.5948913112275327
70,"GHA","Ghana","co2e_100yr",142899495.09637332,4.598839765473576,0.18791067105566778,15.009054599739146
71,"PRY","Paraguay","co2e_100yr",131576538.70294987,18.447386650031596,0.17302115494654988,-6.556845781912863
72,"PRK","Democratic People's Republic of Korea","co2e_100yr",130679114.19779262,5.06924442406653,0.17184105531868085,1.0447698221937691
73,"ROU","Romania","co2e_100yr",129026183.24960095,6.700041503246573,0.16966747616450747,1.4970614639277902
74,"BEL","Belgium","co2e_100yr",127519214.52001873,11.046132397965247,0.16768583511640772,-0.772210142061382
75,"MNG","Mongolia","co2e_100yr",123810098.77442658,37.766647624563824,0.1628084041058411,4.1607178134674125
76,"KEN","Kenya","co2e_100yr",123411873.07420689,2.2951253377583747,0.16228474334336304,-1.039909826732601
77,"FIN","Finland","co2e_100yr",120185473.92332643,21.735154952828186,0.15804207734145378,4.5979431433421105
78,"MLI","Mali","co2e_100yr",119121250.49455686,5.8822886254737385,0.1566426396561185,102.18988855642606
79,"GIN","Guinea","co2e_100yr",119109918.80120516,9.069656993060208,0.1566277386510416,-20.901968797737908
80,"MAR","Morocco","co2e_100yr",118296748.64575154,3.2049569298234815,0.15555843221653895,3.9419846504609217
81,"SGP","Singapore","co2e_100yr",113893761.88274924,20.031239520221007,0.14976857133055754,0.11419322285576186
82,"CZE","Czechia","co2e_100yr",112806260.40275592,10.54475208053387,0.14833852336053666,-1.0154553323191091
83,"NZL","New Zealand","co2e_100yr",112380876.26566643,22.10351007329749,0.1477791496650382,0.24206155917808936
84,"NPL","Nepal","co2e_100yr",104849313.5495534,3.598517502313685,0.13787525880014623,-19.410952162320093
85,"GTM","Guatemala","co2e_100yr",104545075.82847935,6.201388703644622,0.13747519080628162,-44.099915978373765
86,"BHR","Bahrain","co2e_100yr",97885635.97026849,57.52621880347211,0.12871812828645035,1.7455017930870362
87,"UGA","Uganda","co2e_100yr",97674130.02341098,2.1353737352355866,0.1284400011707495,5.835709135697316
88,"GRC","Greece","co2e_100yr",97574939.96709901,9.118679437507641,0.12830956774947633,-4.27092264357463
89,"PRT","Portugal","co2e_100yr",97055465.32585394,9.425531888683205,0.12762646646652967,-2.3395552375892126
90,"AZE","Azerbaijan","co2e_100yr",95861422.19852754,9.497698699790435,0.12605631784442298,0.146481333929308
91,"CIV","Côte d'Ivoire","co2e_100yr",94688000.82866085,3.5896206567207614,0.12451328652094623,-2.4995363248064657
92,"PNG","Papua New Guinea","co2e_100yr",94684915.78231916,10.582835592462072,0.12450922973174686,-5.293977573692932
93,"ISR","Israel","co2e_100yr",93053285.33469537,10.097913786578047,0.12236366041310744,-2.9198006846016824
94,"AUT","Austria","co2e_100yr",89247366.55312413,10.008828950752656,0.11735893487684083,0.024073503020513667
95,"SEN","Senegal","co2e_100yr",79211216.29132912,4.730742202776117,0.10416154933508269,64.67051831248031
96,"HND","Honduras","co2e_100yr",79124599.44529483,7.988665421720357,0.10404764949483447,-46.295528681660656
97,"NIC","Nicaragua","co2e_100yr",77372879.24451986,11.679711455974223,0.10174416397021872,-49.30091284088777
98,"GUY","Guyana","co2e_100yr",77215974.12239543,98.16933519595533,0.10153783611181315,59.864317742459825
99,"LBR","Liberia","co2e_100yr",76789064.417095,15.18267465816718,0.10097645631723041,-44.95121086238124
